t,sim,$x$,$y$,$z$,V,control_input,state,status
0.08,3,8.006696701049805,7.471116065979004,-7.162115097045898,0.05503786727786064,"[-6.3012760e+01 -1.0000000e+02 -9.0642490e+00 -9.3544021e-02
  2.4379442e-02 -9.7629607e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.09,0,-2.6580398082733154,-4.416083812713623,-4.267991542816162,0.04331345111131668,"[ 1.5345183e+01 -1.2027915e+01 -8.0006332e+01 -3.8389787e-01
  4.3969940e-02  4.8131567e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.09,1,4.255378246307373,1.2186148166656494,-9.505513191223145,0.048654742538928986,"[-2.9930349e+01 -6.3516327e+01 -7.8687179e-01 -3.0268392e-02
  2.9285403e-02 -1.0894969e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.09,2,9.634603500366211,1.65601646900177,2.5006604194641113,0.04850706458091736,"[-7.3330826e+01 -4.1056751e+01 -1.0000000e+02 -4.8562676e-01
  3.0546289e-02 -1.1034491e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.09,3,7.999675273895264,7.462765216827393,-7.164503574371338,0.0549781508743763,"[-5.9112022e+01 -1.0000000e+02 -7.2017808e+00 -6.8863064e-02
  2.3628421e-02 -9.5906723e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.1,0,-2.656057596206665,-4.418087005615234,-4.27738618850708,0.04331308603286743,"[ 1.4451889e+01 -1.0801237e+01 -6.3693836e+01 -4.1995156e-01
  4.2984407e-02  5.6529027e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.1,1,4.251462936401367,1.2098993062973022,-9.505783081054688,0.04862670972943306,"[-2.8061386e+01 -5.6982533e+01 -6.2518889e-01 -2.5675934e-02
  2.8496746e-02 -1.1101379e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.1,2,9.625786781311035,1.6492462158203125,2.4912657737731934,0.04843423515558243,"[-6.8789032e+01 -3.6833515e+01 -1.0000000e+02 -4.7492445e-01
  2.9608728e-02 -1.1649325e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.1,3,7.991995811462402,7.453370571136475,-7.166986465454102,0.05491737276315689,"[-5.5439518e+01 -1.0000000e+02 -5.7124510e+00 -4.8364840e-02
  2.2908174e-02 -9.4698513e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.11,0,-2.6539151668548584,-4.420215606689453,-4.287615776062012,0.04331635683774948,"[ 1.3615884e+01 -9.6975565e+00 -5.0625778e+01 -4.5701203e-01
  4.2010427e-02  6.6210306e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
